Chembl_id,SMILES,pIC50,MW,LogP,HBD,HBA,TPSA,RotBonds,ArRings,Rings,HeavyAtoms
CHEMBL4078920,C=CC(=O)Nc1cccc(-c2c[nH]c3nccc(-c4[nH]c(CCCO)nc4C4CC4)c23)c1,6.171984935776023,427.50800000000027,4.546800000000003,4,4,106.69,8,4,5,32
CHEMBL4069229,C=CC(=O)Nc1cccc(-c2c[nH]c3nccc(-c4[nH]c(CCCO)nc4C(F)(F)F)c23)c1,6.167491087293763,455.44000000000017,4.688200000000004,4,4,106.69,7,4,4,33
CHEMBL4072874,C=CC(=O)Nc1cccc(-c2c[nH]c3nccc(-c4[nH]c(-c5ccccc5)nc4-c4ccc(F)cc4)c23)c1,7.978810700930062,499.54900000000015,7.2176000000000045,3,3,86.46,6,6,6,38
CHEMBL4082764,NCc1cccc(-c2nc(-c3ccc(F)cc3)c(-c3ccnc4[nH]c(-c5ccccc5)cc34)[nH]2)c1,6.473660722610156,459.5280000000001,6.5518000000000045,3,3,83.38,5,6,6,35
CHEMBL4101719,OCCCc1nc(-c2ccc(F)cc2)c(-c2ccnc3[nH]c(-c4ccccc4)cc23)[nH]1,9.30102999566398,412.4680000000001,5.351000000000004,3,3,77.59,6,5,5,31
CHEMBL4069277,C=CC(=O)Nc1cc(Nc2nccc(-c3cn4c5c(cccc35)CCC4)n2)c(OC)cc1N(C)CCN(C)C(C)=O,6.725380380908762,553.6670000000004,4.835700000000004,2,8,104.62,10,4,5,41
CHEMBL4092788,C=CC(=O)Nc1cc(Nc2nccc(-c3cn4c5c(cccc35)CCC4)n2)c(OC)cc1N(C)CC(=O)N(C)C,6.555642874343972,539.6400000000003,4.445600000000002,2,8,104.61999999999999,9,4,5,40
CHEMBL4087243,C=CC(=O)Nc1cc(Nc2nccc(-c3cn4c5c(cccc35)CCC4)n2)c(OC)cc1N(C)CCO,7.458420756053419,498.5870000000004,4.349700000000003,3,8,104.54,9,4,5,37
CHEMBL4082763,C=CC(=O)Nc1cc(Nc2cc(-c3cn(C)c4ccccc34)nc(OC)n2)c(OC)cc1N(C)CCN(C)C,7.962573502059376,529.6450000000003,4.518400000000003,2,9,96.78,11,4,4,39
CHEMBL4066569,C=CC(=O)Nc1cc(Nc2cc(-c3cn(C)c4ccccc34)nc(C)n2)c(OC)cc1N(C)CCN(C)C,7.217527375833714,513.6460000000003,4.818220000000004,2,8,87.55,10,4,4,38
CHEMBL4086559,C=CC(=O)Nc1cc(Nc2ncnc(-c3cn(C)c4ccccc34)c2OC)c(OC)cc1N(C)CCN(C)C,6.67264106561367,529.6450000000003,4.518400000000004,2,9,96.78,11,4,4,39
CHEMBL4099377,C=CC(=O)Nc1cc(Nc2ncnc(-c3cn(C)c4ccccc34)c2F)c(OC)cc1N(C)CCN(C)C,7.023191662661934,517.6090000000003,4.648900000000004,2,8,87.55,10,4,4,38
CHEMBL4077973,C=CC(=O)Nc1cc(Nc2cc(-c3cn4c5c(cccc35)CCC4)nc(OC)n2)c(OC)cc1N(C)CCN(C)C,7.657577319177793,555.6830000000003,4.9276000000000035,2,9,96.78,11,4,5,41
CHEMBL4096021,C=CC(=O)Nc1cc(Nc2cc(-c3cn4c5c(cccc35)CCC4)ncn2)c(OC)cc1N(C)CCN(C)C,8.585026652029182,525.6570000000004,4.919000000000003,2,8,87.55,10,4,5,39
CHEMBL4085842,C=CC(=O)Nc1cc(Nc2cc(-c3cn(C)c4ccccc34)ncn2)c(OC)cc1N(C)CCN(C)C,8.795880017344075,499.6190000000003,4.509800000000003,2,8,87.55,10,4,4,37
CHEMBL4094086,C=CC(=O)Nc1cc(Nc2nc(OC)cc(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C,7.886056647693163,529.6450000000002,4.518400000000003,2,9,96.78,11,4,4,39
CHEMBL4104658,C=CC(=O)Nc1cc(Nc2nccc(-c3cn4c5c(cccc35)CCC4)n2)c(OC)cc1N(C)CCN(C)C,8.585026652029182,525.6570000000004,4.919000000000003,2,8,87.55,10,4,5,39
CHEMBL4080433,C=CC(=O)Nc1cc(Nc2nccc(-n3ncc4ccccc43)n2)c(OC)cc1N(C)CCN(C)C,6.221848749616356,486.5800000000003,3.690000000000002,2,9,100.44,10,4,4,36
CHEMBL4067014,C=CC(=O)Nc1cc(Nc2nccc(-n3cc(C)c4ccccc43)n2)c(OC)cc1N(C)CCN(C)C,6.541513236201793,499.6190000000003,4.603420000000003,2,8,87.55,10,4,4,37
CHEMBL4081429,C=CC(=O)Nc1cc(Nc2nccc(-c3cn4c5c(cccc35)CCC4)n2)c(OC)cc1N1CCNC(=O)C1,6.368860749743189,523.5970000000003,3.857400000000001,3,8,113.41,7,4,6,39
CHEMBL4099445,C=CC(=O)Nc1cc(Nc2nccc(-c3cn4c5c(cccc35)CCC4)n2)c(OC)cc1N1CCN(C)CC1,7.191789027075778,523.6410000000004,4.673000000000003,2,8,87.55,7,4,6,39
CHEMBL4098967,C=CC(=O)Nc1cc(Nc2nccc(-c3cn4c5c(cccc35)CCC4)n2)c(OC)cc1N1CCC(CN(C)C)C1,8.397940008672037,551.6950000000003,5.309100000000004,2,8,87.55,9,4,6,41
CHEMBL4080934,C=CC(=O)Nc1cc(Nc2nccc(-c3cn4c5c(cccc35)CCC4)n2)c(OC)cc1N1CC(CCN(C)C)C1,7.838631997765025,551.6950000000003,5.309100000000004,2,8,87.55,10,4,6,41
CHEMBL4080008,C=CC(=O)Nc1cc(Nc2nccc(-c3cn4c5c(cccc35)CCC4)n2)c(OC)cc1N1CC(CN(C)C)C1,7.935542010773082,537.6680000000003,4.919000000000003,2,8,87.55,9,4,6,40
CHEMBL4097141,C=CC(=O)Nc1cc(Nc2nccc(-c3cn4c5c(cccc35)CCC4)n2)c(OC)cc1N1CC(N(C)C)C1,7.866461091629782,523.6410000000003,4.671400000000003,2,8,87.55,8,4,6,39
CHEMBL4082724,COc1cc2c(Oc3ccc(NC(=O)c4nc5ccccc5n(-c5ccc(F)cc5)c4=O)cc3F)ccnc2cc1OCCCN1CCN(C)CC1,6.008406259143765,706.7499999999994,6.281600000000007,1,10,111.04999999999998,11,6,7,52
CHEMBL4095253,C=CS(=O)(=O)N1CCC[C@@H]1Cn1cc(-c2ccc3c(c2)OCO3)c2c(N)ncnc21,6.1919917000896,427.4860000000002,2.3468999999999998,1,8,112.57000000000001,5,3,5,30
CHEMBL4125764,C=CC(=O)N[C@@H]1CCN(c2nc(Nc3ccccc3)nc3cnc(Nc4ccc(N5CCN(C)CC5)cn4)cc23)C1,8.568636235841012,550.6710000000003,3.5397000000000025,3,10,114.44,8,4,6,41
CHEMBL4127809,C=CC(=O)N[C@H]1CCN(c2nc(Nc3ccccc3)nc3cnc(Nc4ccc(N5CCN(C)CC5)cn4)cc23)C1,8.823908740944319,550.6710000000003,3.5397000000000025,3,10,114.44,8,4,6,41
CHEMBL4129209,C=CC(=O)N[C@@H]1CCCN(c2nc(Nc3ccccc3)nc3cnc(Nc4ccc(N5CCN(C)CC5)cn4)cc23)C1,8.267606240177031,564.6980000000002,3.929800000000003,3,10,114.44,8,4,6,42
CHEMBL4129287,C=CC(=O)N[C@H]1CCCN(c2nc(Nc3ccccc3)nc3cnc(Nc4ccc(N5CCN(C)CC5)cn4)cc23)C1,7.920818753952375,564.6980000000002,3.929800000000003,3,10,114.44,8,4,6,42
CHEMBL4127897,C=CC(=O)N1CC[C@@H](Nc2nc(Nc3ccccc3)nc3cnc(Nc4ccc(N5CCN(C)CC5)cn4)cc23)C1,8.481486060122112,550.6710000000003,3.8576000000000024,3,10,114.44,8,4,6,41
CHEMBL4125840,C=CC(=O)N1CC[C@H](Nc2nc(Nc3ccccc3)nc3cnc(Nc4ccc(N5CCN(C)CC5)cn4)cc23)C1,8.00436480540245,550.6710000000003,3.8576000000000024,3,10,114.44,8,4,6,41
CHEMBL4129138,CN1CCN(c2ccc(Nc3cc4c(N[C@@H]5CCCN(C)C5)nc(Nc5ccccc5)nc4cn3)nc2)CC1,8.327902142064282,524.6770000000001,4.164900000000003,3,10,97.37,7,4,6,39
CHEMBL4126810,CN1CCN(c2ccc(Nc3cc4c(N[C@H]5CCCN(C)C5)nc(Nc5ccccc5)nc4cn3)nc2)CC1,8.721246399047171,524.6770000000001,4.164900000000003,3,10,97.37,7,4,6,39
CHEMBL4126654,C=CC(=O)Nc1cccc(-n2c(=O)n(C)c(=O)c3cnc(Nc4ccc(N5CCOCC5)cc4OC)nc32)c1,6.467245621007502,529.5570000000004,2.1926999999999994,2,11,132.61,7,4,5,39
CHEMBL4126797,C=CC(=O)Nc1cccc(-n2c(=O)n(C)c(=O)c3cnc(Nc4ccc(N5CCN(C(C)=O)CC5)cc4OC)nc32)c1,6.7447274948966935,570.6100000000002,2.0245999999999995,2,11,143.69,7,4,5,42
CHEMBL4125772,C=CC(=O)Nc1cccc(-n2c(=O)n(C)c(=O)c3cnc(Nc4ccc(N5CCSCC5)cc4OC)nc32)c1,6.503070351926785,545.6250000000002,2.909300000000001,2,11,123.38,7,4,5,39
CHEMBL4129387,C=CC(=O)Nc1cccc(-n2c(=O)n(C)c(=O)c3cnc(Nc4ccc(N5CCC(N(C)C)CC5)cc4OC)nc32)c1,6.863279432843593,570.6540000000002,2.8865000000000007,2,11,126.61999999999999,8,4,5,42
CHEMBL4128726,C=CC(=O)Nc1cccc(-n2c(=O)n(C)c(=O)c3cnc(Nc4ccccc4)nc32)c1,7.086186147616283,414.42500000000007,2.3475,2,8,110.91,5,4,4,31
CHEMBL4126358,C=CC(=O)Nc1cccc(-n2c(=O)n(CC)c(=O)c3cnc(Nc4ccc(N5CCC(N(C)C)CC5)cc4OC)nc32)c1,6.954677021213342,584.6810000000002,3.3694000000000015,2,11,126.61999999999999,9,4,5,43
CHEMBL4129646,C=CC(=O)Nc1cccc(-n2c(=O)n(CCC)c(=O)c3cnc(Nc4ccc(N5CCC(N(C)C)CC5)cc4OC)nc32)c1,7.886056647693163,598.7080000000002,3.7595000000000027,2,11,126.61999999999999,10,4,5,44
